1;Kenntnis;Knowledge;Élémentaire;Kenntnis
2;Berufspraxis;Professional experience;Expérience professionnelle;Berufspraxis
3;Verhandlungssicher;Business fluent;Capable de négocier;Verhandlungssicher
4;Muttersprache;Native language;Langue maternelle;Muttersprache
